mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1,pred_prob_class0,pred_prob_class1,pred_prob_std_class0,pred_prob_std_class1
-0.8890233,-4.230569,0,0,3.5211854,11.177199,0.8885956,0.11140438,0.17331798,0.17331798
-1.4863076,-4.231374,0,0,3.5993986,11.17815,0.8456498,0.15435031,0.20913881,0.20913881
-0.7933078,-4.231374,0,0,3.6020775,11.17815,0.88556,0.11443994,0.17197147,0.17197147
-0.7975941,-4.231374,0,0,3.6562333,11.17815,0.888283,0.11171703,0.17020454,0.17020454
-0.47012877,-4.231374,0,0,3.610299,11.17815,0.9138732,0.086126775,0.15891726,0.15891726
-0.9604492,-4.231374,0,0,3.6374564,11.17815,0.8834397,0.116560265,0.18302412,0.18302412
-0.8986745,-4.231374,0,0,3.6361141,11.17815,0.90524906,0.09475095,0.13507906,0.13507907
-1.0103114,-4.231374,0,0,3.6230593,11.17815,0.8874242,0.11257572,0.18034318,0.18034318
-1.1670938,-4.231374,0,0,3.6437812,11.17815,0.86639214,0.1336078,0.18993865,0.18993865
-0.67007613,-4.231374,0,0,3.6528459,11.17815,0.9133563,0.08664374,0.14156012,0.14156012
-0.58940315,-4.231374,0,0,3.5896864,11.17815,0.9125604,0.08743949,0.141429,0.141429
-0.8710971,-4.231374,0,0,3.591372,11.17815,0.89215505,0.10784497,0.16530596,0.16530597
-0.71897006,-4.231374,0,0,3.700663,11.17815,0.8926848,0.10731518,0.16094445,0.16094445
-0.89608955,-4.2309995,0,0,3.5516133,11.177708,0.89635456,0.103645414,0.161159,0.161159
-0.8255899,-4.231374,0,0,3.6389546,11.17815,0.89446485,0.10553517,0.16421908,0.16421908
-1.2310238,-4.231374,0,0,3.5396218,11.17815,0.85745,0.14254998,0.20952165,0.20952165
-0.76811147,-4.231374,0,0,3.5976744,11.17815,0.90294135,0.09705859,0.15537189,0.15537189
-0.9167664,-4.2311306,0,0,3.5328693,11.177862,0.8834233,0.116576634,0.18359901,0.18359901
-0.72860694,-4.231374,0,0,3.6309962,11.17815,0.92302513,0.076974854,0.14455642,0.14455642
-1.1713123,-4.231149,0,0,3.5234275,11.177885,0.86089945,0.13910043,0.20063573,0.20063573
