mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1,pred_prob_class0,pred_prob_class1,pred_prob_std_class0,pred_prob_std_class1
-1.2098515,-4.955451,0,0,3.779467,7.723782,0.9074492,0.09255082,0.16400602,0.16400602
-2.1788013,-3.369205,0,0,3.6641593,7.256101,0.707139,0.2928609,0.25922412,0.25922412
-0.8501613,-5.6203194,0,0,3.9172664,8.209072,0.96224684,0.037753142,0.07706285,0.07706285
-1.0041245,-5.351908,0,0,3.890533,8.0803585,0.9449868,0.055013184,0.10385743,0.10385743
-0.95536494,-5.427368,0,0,3.9068937,8.155578,0.9429925,0.05700746,0.12594303,0.12594303
-1.0838993,-5.0164514,0,0,3.894153,8.033401,0.91115606,0.08884393,0.15967292,0.15967292
-1.0325311,-5.231929,0,0,3.8978682,8.105026,0.9380162,0.061983768,0.11088133,0.110881336
-0.8969313,-5.5626383,0,0,3.873917,8.009113,0.95027584,0.04972423,0.10681814,0.10681814
-0.9748304,-5.266332,0,0,3.9203067,8.2212925,0.9350372,0.06496281,0.11819228,0.118192285
-0.9952519,-5.236135,0,0,3.9151545,8.190076,0.9295698,0.070430264,0.12958182,0.12958182
-0.89697504,-5.5074453,0,0,3.9288397,8.277023,0.94130737,0.058692724,0.1305209,0.1305209
-1.2875401,-4.712478,0,0,3.8523364,7.900307,0.8882176,0.111782365,0.19118881,0.19118881
-0.7989639,-5.811066,0,0,3.9259248,8.259171,0.96897286,0.031027084,0.08279802,0.08279803
-0.96716154,-5.2882,0,0,3.9138737,8.190566,0.93537414,0.06462589,0.1310242,0.1310242
-0.94515026,-5.2739735,0,0,3.8899856,8.083923,0.9453981,0.054601848,0.115346745,0.115346745
-1.6100038,-3.9343762,0,0,3.8633747,7.935234,0.8117634,0.18823656,0.22476034,0.22476034
-0.75514543,-5.905917,0,0,3.8948216,8.166187,0.9686755,0.031324476,0.06441126,0.06441126
-0.83231556,-5.7021866,0,0,3.917852,8.210596,0.96975505,0.030244904,0.08122088,0.08122088
-0.971177,-5.326479,0,0,3.9225998,8.233369,0.94653094,0.053469036,0.11456478,0.11456478
-0.79649687,-5.857378,0,0,3.926673,8.267585,0.9591926,0.040807407,0.09503949,0.09503949
-1.0242896,-5.171885,0,0,3.906055,8.1427765,0.94148636,0.058513686,0.111903,0.111903
-0.87223995,-5.5841722,0,0,3.9226956,8.237092,0.9643118,0.035688184,0.09361906,0.09361906
-1.2106994,-4.921447,0,0,3.896666,8.092769,0.91579306,0.08420697,0.15505032,0.15505032
-0.9096596,-5.431281,0,0,3.9265747,8.256451,0.94736254,0.052637465,0.11764472,0.11764472
-1.1565306,-4.9020195,0,0,3.8842397,8.046789,0.90101296,0.09898707,0.17657351,0.17657351
-1.1167579,-5.0001545,0,0,3.8974018,8.109143,0.93193763,0.06806238,0.12151876,0.12151876
-1.0899208,-5.0253057,0,0,3.9079943,8.148012,0.9303836,0.06961643,0.121679194,0.121679194
-1.821754,-3.802084,0,0,3.7790537,7.6410108,0.78700507,0.21299492,0.24328896,0.24328896
-0.797536,-5.8581038,0,0,3.926948,8.269962,0.96534634,0.034653712,0.07694997,0.07694997
-0.8529494,-5.6722784,0,0,3.9295793,8.286973,0.95131695,0.04868297,0.096754484,0.096754484
-0.7558415,-5.8947268,0,0,3.8946557,8.163868,0.965519,0.03448104,0.08635533,0.08635533
-1.1429127,-4.930215,0,0,3.879272,8.01667,0.92866075,0.07133918,0.11790326,0.117903255
-0.95999265,-5.4115243,0,0,3.7858648,7.785663,0.9365519,0.063448,0.14072445,0.14072445
-1.0712807,-5.1155095,0,0,3.901,8.116251,0.92834544,0.07165445,0.15350714,0.15350713
-1.2159027,-4.842942,0,0,3.8960547,8.095285,0.89512223,0.10487771,0.16419806,0.16419804
-0.9033475,-5.4695253,0,0,3.9141645,8.191065,0.9512074,0.048792645,0.102983184,0.10298319
-0.8078077,-5.7521753,0,0,3.8906765,8.106729,0.95878536,0.04121465,0.10514848,0.10514848
-1.3585551,-4.589406,0,0,3.8384323,7.8596783,0.89926815,0.100731954,0.1708304,0.1708304
-1.0817233,-5.14542,0,0,3.9099097,8.157024,0.9377085,0.062291447,0.117168054,0.117168054
-0.8989345,-5.5036826,0,0,3.9290094,8.277828,0.93832016,0.061679862,0.12939397,0.12939397
-0.7158369,-6.029299,0,0,3.9050584,8.182841,0.97338295,0.026617048,0.06600645,0.066006444
-1.090812,-4.917308,0,0,3.8961968,8.056033,0.929888,0.07011199,0.14390087,0.14390089
-1.059641,-5.138759,0,0,3.9230466,8.230633,0.9358412,0.06415886,0.1326329,0.1326329
-1.1139877,-4.9992313,0,0,3.885377,8.057287,0.92842716,0.07157284,0.13020954,0.13020954
-1.1554288,-4.9629593,0,0,3.8482742,7.938695,0.9245947,0.075405255,0.14145456,0.14145456
-4.9821725,-0.84281254,1,1,8.897603,2.430126,0.05616393,0.94383603,0.08752889,0.08752889
-4.580074,-0.9081507,1,1,9.209708,2.5032504,0.079637766,0.92036223,0.14678043,0.14678043
-4.8010488,-0.8549049,1,1,8.9239645,2.4421613,0.07094157,0.92905855,0.12826662,0.12826662
-4.96716,-0.7304454,1,1,9.101732,2.4750073,0.05656619,0.9434338,0.117423795,0.117423795
-4.1059847,-1.1730351,1,1,8.9960785,2.4662073,0.14548592,0.85451406,0.18956694,0.18956694
-4.9871645,-0.7924621,1,1,8.968634,2.4424803,0.058568873,0.94143116,0.12264701,0.12264701
-5.226784,-0.6431825,1,1,8.83815,2.4179614,0.051713854,0.94828606,0.11339573,0.11339573
-4.692415,-0.83741355,1,1,9.064162,2.4694588,0.06970096,0.93029904,0.12107499,0.12107499
-5.405897,-0.70864296,1,1,7.937006,2.1772563,0.031624984,0.96837497,0.070579134,0.07057913
-4.4312234,-0.97555375,1,1,9.21305,2.5050094,0.10384985,0.8961502,0.17519437,0.17519438
-5.830369,-0.43359137,1,1,8.398426,2.255945,0.016463174,0.98353684,0.031358667,0.03135867
-4.6910458,-0.8488865,1,1,9.1936455,2.4980943,0.06204444,0.93795556,0.10578079,0.10578079
-5.559877,-0.53499603,1,1,8.739141,2.3884056,0.03022474,0.9697753,0.07831954,0.07831955
-5.7484293,-0.44770336,1,1,8.813951,2.4102976,0.021668252,0.97833174,0.05623379,0.056233782
-4.6990128,-0.88932323,1,1,9.052031,2.4686239,0.08190434,0.9180956,0.14102378,0.14102378
-4.8641787,-0.7917495,1,1,9.122409,2.482241,0.063732125,0.9362679,0.12575461,0.12575461
-5.6714425,-0.50307035,1,1,8.699662,2.3723438,0.025355797,0.9746441,0.06232774,0.06232774
-4.915227,-0.7656734,1,1,9.137565,2.4830644,0.07057896,0.92942107,0.13741454,0.13741454
-4.4521365,-0.98121166,1,1,9.145652,2.4887335,0.10818013,0.8918199,0.17670502,0.17670502
-5.4644904,-0.5352385,1,1,9.069584,2.465687,0.027195012,0.97280496,0.06602117,0.06602117
-4.751622,-0.83279085,1,1,9.148051,2.4887507,0.08618853,0.9138115,0.15588143,0.15588143
-4.6413603,-0.90205526,1,1,8.945143,2.4477198,0.09364498,0.9063551,0.14690024,0.14690024
-5.123052,-0.6829233,1,1,9.090657,2.4667108,0.06300805,0.93699193,0.13491417,0.13491417
-5.653244,-0.55653477,1,1,8.332483,2.2816699,0.023808017,0.97619194,0.06639629,0.066396296
-4.8980846,-0.7676015,1,1,9.14094,2.4795582,0.054843105,0.945157,0.10551891,0.10551891
-5.4939976,-0.655375,1,1,7.784033,2.1052191,0.024254007,0.97574604,0.045690045,0.04569005
-5.5232396,-0.5031054,1,1,8.846078,2.4188082,0.029390654,0.9706093,0.08585506,0.08585506
-4.60251,-0.87441206,1,1,9.216996,2.5054872,0.07076605,0.9292339,0.12694712,0.12694712
-4.3647904,-1.0454867,1,1,9.185042,2.4970357,0.087431386,0.9125686,0.14348438,0.14348438
-5.1162424,-0.68417835,1,1,8.744687,2.3933322,0.04167271,0.9583273,0.08223781,0.08223781
-4.4690905,-0.95365405,1,1,9.202099,2.501301,0.105216585,0.8947834,0.16751583,0.16751583
-4.958181,-0.8060374,1,1,8.973322,2.447426,0.061095096,0.93890494,0.11296834,0.11296835
-4.6644773,-0.87989974,1,1,9.023136,2.4615667,0.063938074,0.936062,0.10855676,0.10855677
-4.1941433,-1.0980687,1,1,9.10822,2.4856517,0.12557629,0.87442374,0.19935726,0.19935726
-4.4134016,-0.9905629,1,1,9.218092,2.506643,0.09422258,0.9057774,0.15874276,0.15874276
-4.718337,-0.8436923,1,1,9.1598015,2.4897773,0.0756663,0.9243337,0.14039907,0.14039907
-4.862621,-0.78193617,1,1,9.176102,2.4918563,0.0683607,0.9316393,0.12012198,0.12012198
-5.6160707,-0.5373044,1,1,8.2609825,2.270507,0.021141665,0.9788583,0.03979446,0.03979446
-4.7657857,-0.8495796,1,1,9.082989,2.4717982,0.056552976,0.94344705,0.09594163,0.09594163
-5.3316665,-0.6442056,1,1,8.795128,2.4095109,0.032219842,0.9677801,0.06814876,0.06814876
-4.635338,-0.90165067,1,1,9.179826,2.4953797,0.09360464,0.9063953,0.14712574,0.14712574
-4.6492496,-0.8648937,1,1,9.170113,2.4922836,0.07509627,0.9249037,0.14002357,0.14002357
-5.2202196,-0.6118736,1,1,9.100653,2.4669664,0.044447385,0.95555264,0.0866006,0.0866006
-5.204363,-0.6895592,1,1,8.577194,2.3607218,0.046347093,0.9536529,0.09554498,0.09554497
-5.6083736,-0.61422515,1,1,8.361455,2.2475927,0.025894972,0.97410506,0.052696213,0.05269621
